,all_data_acc_mean,all_data_acc_var,vote_mean_acc_mean,vote_mean_acc_var,vote_grade_acc_mean,vote_grade_acc_var
K_means_cluster,0.926470588235294,1.232595164407831e-32,0.9451357466063348,0.0,0.9338800904977376,2.8792408017853646e-08
GMM_cluster,0.75,0.0,0.9604072398190044,1.232595164407831e-32,0.9437217194570137,7.997891116070458e-08
DVC,0.9270361990950227,0.0,0.9490950226244342,1.232595164407831e-32,0.9618212669683258,2.7192829794639557e-07
Random_subspace,0.9270361990950227,0.0,0.0011312217194570135,4.70197740328915e-38,0.9118778280542985,1.3039761675641273e-05
feature_divide,0.9372171945701359,1.232595164407831e-32,0.0011312217194570135,4.70197740328915e-38,0.9252262443438914,5.233819946356631e-06
GR_rank,0.0011312217194570135,4.70197740328915e-38,0.9270361990950227,0.0,0.9312217194570136,7.178907065784842e-06
OFSP_LinearModel,0.9581447963800904,1.232595164407831e-32,0.955316742081448,0.0,0.9583710407239818,7.67797547142764e-08
