,all_data_acc_mean,all_data_acc_var,vote_mean_acc_mean,vote_mean_acc_var,vote_grade_acc_mean,vote_grade_acc_var
K_means_cluster,0.8580645161290322,0.0,0.8838709677419356,1.232595164407831e-32,0.8877419354838709,0.0
GMM_cluster,0.9058064516129033,1.232595164407831e-32,0.8858064516129034,1.232595164407831e-32,0.8952903225806452,8.740894901143784e-08
DVC,0.8535483870967742,0.0,0.9219354838709677,0.0,0.8954838709677417,4.930380657631324e-32
Random_subspace,0.8709677419354838,1.232595164407831e-32,0.0006451612903225805,1.1754943508222875e-38,0.8788387096774194,1.31363163371488e-05
feature_divide,0.8580645161290322,0.0,0.0006451612903225805,1.1754943508222875e-38,0.8662580645161292,1.2407908428719979e-05
GR_rank,0.0038709677419354834,1.88079096131566e-37,0.8825806451612903,0.0,0.8775483870967742,6.643080124869966e-06
OFSP_LinearModel,0.8935483870967744,4.930380657631324e-32,0.9103225806451614,1.232595164407831e-32,0.8980645161290323,0.0
