0.22,0.22,3.84E-32,0.22,0.21,0.219833333,1.67E-06,-0.53,0,0.44,0.01,0.43,0,0.44,0.01,0.43,0.22,0.22,0.22,3.84E-32,13.2,0,0.000166667,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
0.22,0.224833333,2.54E-05,0.23,0.22,0.224166667,2.47E-05,-0.52,0.01,0.45,0.01,0.45,0,0.46,0,0.44,0.23,0.22,0.224333333,2.50E-05,13.46,0.0005,0.000166667,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
0.23,0.234333333,2.50E-05,0.23,0.23,0.23,9.48E-32,-0.51,0.01,0.47,0,0.46,0.01,0.47,0,0.46,0.24,0.23,0.230166667,1.67E-06,13.81,0.004166667,0.000166667,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
0.23,0.2405,3.87E-05,0.25,0.23,0.238166667,2.54E-05,-0.5,0.02,0.48,0.02,0.48,0,0.5,0,0.46,0.25,0.23,0.239166667,3.15E-05,14.35,0.001333333,0.001,0.52,0,0,0,0,0,0,0.24,0.22,0.23,1.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
0.25,0.251833333,1.52E-05,0.26,0.25,0.250333333,3.28E-06,-0.49,0.01,0.51,0.01,0.51,0,0.52,0,0.5,0.26,0.25,0.250666667,6.33E-06,15.04,0.001166667,0.000333333,0.5,0,0,0,0,0,0,0.25,0.23,0.24,1.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
0.25,0.254833333,2.54E-05,0.26,0.24,0.2515,4.35E-05,-0.49,0.01,0.51,0.02,0.5,0,0.52,0.01,0.49,0.26,0.25,0.254333333,2.50E-05,15.26,0.0005,0.002833333,0.51,0,0,0,0,0,0,0.26,0.24,0.25,0.0001,0.26,0.22,0.24,0.00025,0,0,0,0,0,0,0,0,0,0.25
0.24,0.245,2.54E-05,0.25,0.23,0.240166667,4.91E-05,-0.5,0.01,0.49,0.02,0.48,0,0.5,0.01,0.47,0.25,0.23,0.243166667,4.57E-05,14.59,0.001833333,0.003,0.52,0,0,0,0,0,0,0.26,0.25,0.256666667,3.33E-05,0.26,0.23,0.248,0.00017,0,0,0,0,0,0,0,0,0,0.24
0.23,0.230166667,1.67E-06,0.23,0.22,0.2295,4.83E-06,-0.51,0.01,0.47,0.01,0.45,0.01,0.47,0.01,0.45,0.23,0.22,0.229833333,1.67E-06,13.79,0.000333333,0.000333333,0.53,0,0,0,0,0,0,0.26,0.25,0.256666667,3.33E-05,0.26,0.24,0.252,7.00E-05,0,0,0,0,0,0,0,0,0,0.23
0.22,0.223166667,2.20E-05,0.23,0.22,0.220666667,6.33E-06,-0.52,0.01,0.45,0.01,0.45,0,0.46,0,0.44,0.23,0.22,0.222666667,1.99E-05,13.36,0.0005,0.002,0.53,0,0,0,0,0,0,0.26,0.24,0.25,0.0001,0.26,0.24,0.252,7.00E-05,0,0,0,0,0,0,0,0,0,0.22
0.22,0.22,3.84E-32,0.22,0.22,0.22,3.84E-32,-0.53,0,0.44,0,0.44,0,0.44,0,0.44,0.22,0.22,0.22,3.84E-32,13.2,0,0,0.53,0,0,0,0,0,0,0.25,0.23,0.24,1.00E-04,0.26,0.23,0.248,0.00017,0,0,0,0,0,0,0,0,0,0.23
0.22,0.222833333,2.06E-05,0.23,0.22,0.221666667,1.41E-05,-0.52,0.01,0.45,0.01,0.45,0,0.46,0,0.44,0.23,0.22,0.222333333,1.82E-05,13.34,0.0005,0.000666667,0.53,0,0,0,0,0,0,0.24,0.22,0.23,1.00E-04,0.26,0.22,0.24,0.00025,0.26,0.22,0.24,0.000222222,0,0,0,0,0,0.25
0.23,0.2415,5.36E-05,0.25,0.23,0.239,4.64E-05,-0.5,0.02,0.48,0.02,0.48,0,0.5,0,0.46,0.25,0.23,0.239833333,4.91E-05,14.39,0.001666667,0.000833333,0.52,0,0,0,0,0,0,0.23,0.22,0.226666667,3.33E-05,0.25,0.22,0.234,0.00013,0.26,0.22,0.241,0.000187778,0,0,0,0,0,0.28
0.25,0.269,0.000104068,0.28,0.25,0.266166667,0.000112175,-0.47,0.03,0.53,0.03,0.53,0,0.56,0,0.5,0.28,0.25,0.267166667,0.000108785,16.03,0.001833333,0.001,0.5,0,0,0,0,0,0,0.25,0.22,0.233333333,0.000233333,0.25,0.22,0.234,0.00013,0.26,0.22,0.243,0.000178889,0,0,0,0,0,0.3
0.28,0.289666667,1.34E-05,0.29,0.28,0.287166667,2.06E-05,-0.45,0.02,0.58,0.01,0.57,0.01,0.59,0,0.56,0.29,0.28,0.287833333,1.73E-05,17.27,0.001833333,0.000666667,0.47,0,0,0,0,0,0,0.28,0.23,0.253333333,0.000633333,0.28,0.22,0.242,0.00057,0.28,0.22,0.247,0.000312222,0,0,0,0,0,0.3
0.28,0.291333333,2.19E-05,0.29,0.28,0.287166667,2.06E-05,-0.45,0.02,0.58,0.01,0.57,0.01,0.59,0,0.56,0.29,0.28,0.287833333,1.73E-05,17.27,0.0035,0.000666667,0.47,0,0,0,0,0,0,0.3,0.25,0.276666667,0.000633333,0.3,0.22,0.256,0.00113,0.3,0.22,0.252,0.000595556,0,0,0,0,0,0.28
0.27,0.279166667,7.77E-06,0.28,0.27,0.278,1.63E-05,-0.47,0.01,0.55,0.01,0.55,0,0.56,0,0.54,0.28,0.27,0.2785,1.30E-05,16.71,0.000666667,0.0005,0.48,0,0,0,0,0,0,0.3,0.28,0.293333333,0.000133333,0.3,0.23,0.272,0.00097,0.3,0.22,0.256,0.000826667,0.3,0.22,0.250666667,0.00066381,0,0.27
