,all_data_acc_mean,all_data_acc_var,vote_mean_acc_mean,vote_mean_acc_var,vote_grade_acc_mean,vote_grade_acc_var
K_means_cluster,0.926470588235294,1.232595164407831e-32,0.9451357466063348,0.0,0.9339366515837104,5.118650314285091e-08
GMM_cluster,0.75,0.0,0.9604072398190044,1.232595164407831e-32,0.9436085972850679,2.5913167216068283e-07
DVC,0.9270361990950227,0.0,0.9490950226244342,1.232595164407831e-32,0.9618778280542987,5.24661657214222e-07
Random_subspace,0.9270361990950227,0.0,0.0011312217194570135,4.70197740328915e-38,0.9149886877828053,1.1264229847873633e-05
feature_divide,0.9372171945701359,1.232595164407831e-32,0.0011312217194570135,4.70197740328915e-38,0.9245475113122172,1.7224258307569632e-05
GR_rank,0.0011312217194570135,4.70197740328915e-38,0.9270361990950227,0.0,0.9317307692307694,7.169309596445559e-06
OFSP_LinearModel,0.9581447963800904,1.232595164407831e-32,0.955316742081448,0.0,0.9582579185520361,5.118650314285092e-08
