0.22,0.22,3.8399999999999994e-32,0.22,0.21,0.21983333300000002,1.67e-06,-0.53,0.0,0.44,0.01,0.43,0.0,0.44,0.01,0.43,0.22,0.22,0.22,3.8399999999999994e-32,13.2,0.0,0.000166667,0.54,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
0.22,0.224833333,2.54e-05,0.23,0.22,0.224166667,2.47e-05,-0.52,0.01,0.45,0.01,0.45,0.0,0.46,0.0,0.44,0.23,0.22,0.224333333,2.5e-05,13.46,0.0005,0.000166667,0.53,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.23,0.234333333,2.5e-05,0.23,0.23,0.23,9.48e-32,-0.51,0.01,0.47,0.0,0.46,0.01,0.47,0.0,0.46,0.24,0.23,0.230166667,1.67e-06,13.81,0.004166667,0.000166667,0.52,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.23,0.2405,3.87e-05,0.25,0.23,0.238166667,2.54e-05,-0.5,0.02,0.48,0.02,0.48,0.0,0.5,0.0,0.46,0.25,0.23,0.239166667,3.15e-05,14.35,0.001333333,0.001,0.52,0.0,0,0,0,0,0,0.24,0.22,0.23,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0.25,0.251833333,1.52e-05,0.26,0.25,0.250333333,3.28e-06,-0.49,0.01,0.51,0.01,0.51,0.0,0.52,0.0,0.5,0.26,0.25,0.250666667,6.33e-06,15.04,0.001166667,0.00033333300000000006,0.5,0.0,0,0,0,0,0,0.25,0.23,0.24,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0.25,0.254833333,2.54e-05,0.26,0.24,0.2515,4.35e-05,-0.49,0.01,0.51,0.02,0.5,0.0,0.52,0.01,0.49,0.26,0.25,0.254333333,2.5e-05,15.26,0.0005,0.002833333,0.51,0.0,0,0,0,0,0,0.26,0.24,0.25,0.0001,0.26,0.22,0.24,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.24,0.245,2.54e-05,0.25,0.23,0.240166667,4.91e-05,-0.5,0.01,0.49,0.02,0.48,0.0,0.5,0.01,0.47,0.25,0.23,0.243166667,4.57e-05,14.59,0.001833333,0.003,0.52,0.0,0,0,0,0,0,0.26,0.25,0.256666667,3.3299999999999996e-05,0.26,0.23,0.248,0.00016999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.23,0.230166667,1.67e-06,0.23,0.22,0.2295,4.83e-06,-0.51,0.01,0.47,0.01,0.45,0.01,0.47,0.01,0.45,0.23,0.22,0.229833333,1.67e-06,13.79,0.00033333300000000006,0.00033333300000000006,0.53,0.0,0,0,0,0,0,0.26,0.25,0.256666667,3.3299999999999996e-05,0.26,0.24,0.252,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
0.22,0.22316666699999999,2.2e-05,0.23,0.22,0.22066666699999998,6.33e-06,-0.52,0.01,0.45,0.01,0.45,0.0,0.46,0.0,0.44,0.23,0.22,0.22266666699999998,1.99e-05,13.36,0.0005,0.002,0.53,0.0,0,0,0,0,0,0.26,0.24,0.25,0.0001,0.26,0.24,0.252,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0.22,0.22,3.8399999999999994e-32,0.22,0.22,0.22,3.8399999999999994e-32,-0.53,0.0,0.44,0.0,0.44,0.0,0.44,0.0,0.44,0.22,0.22,0.22,3.8399999999999994e-32,13.2,0.0,0.0,0.53,0.0,0,0,0,0,0,0.25,0.23,0.24,0.0001,0.26,0.23,0.248,0.00016999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
